# Generated 2020-01-12 (sean.turner@pnnl.gov)
# HUC8 identified using GRAND LONG/LAT and nhdplusTools::get_huc8()
# Four sites added manually: 1304, 1408, 2058, 6825
GRAND_ID,HUC8
40,17110004
41,17110005
42,17110005
43,17110005
44,17110005
47,17110009
48,17110009
49,17020009
50,17110010
51,17110017
52,17110012
53,17110013
54,17100104
55,17030001
56,17110013
57,17030001
58,17030001
59,17110014
60,17030002
61,17110015
62,17100103
63,17030002
64,17080005
65,17080005
66,17080005
67,17080005
68,17080002
69,17100202
70,17080002
71,17080001
72,17090010
73,17080001
74,17080001
75,17100203
76,17090012
77,17090011
78,17070306
79,17090011
80,17090005
81,17070306
82,17070301
83,17090006
84,17070301
85,17090006
86,17090004
87,17070305
88,17090004
89,17090004
90,17090003
91,17070304
92,17090001
93,17090001
94,17090001
95,17100207
96,17100207
97,17090002
98,17070301
99,17090002
100,17090001
101,17070301
102,17070302
103,17100301
104,17100302
105,17120005
106,17100302
107,17100307
108,18010203
109,18020001
110,18010203
111,18010206
112,18010204
113,18010206
114,17100308
115,18020001
116,17100309
117,18010206
118,18010206
119,18010204
120,18020002
121,18010207
122,18020005
123,18020002
124,18020004
125,18020002
126,18020003
127,18020003
128,18080002
129,18020003
130,18080002
131,18010211
132,18020005
133,18020154
134,18080003
135,18010102
136,18020121
137,18020122
138,18020121
139,18020121
140,18020121
141,18020123
142,18020123
143,18020158
144,18020115
145,18020123
146,18020115
147,18020123
148,18020123
149,18020159
150,18020125
151,16050102
152,18020159
153,16050102
154,18020125
155,18020125
156,18010103
157,16050102
158,18020125
159,18020125
160,16050102
161,18020115
162,18020125
163,16050102
164,18020125
165,16050102
166,18020128
167,18020125
168,18020125
169,18010110
170,16050101
171,18020126
172,18020128
173,18020116
174,18020128
175,18020126
176,18020128
177,18020128
178,18020129
179,18020129
180,18010110
181,18040013
182,18020128
183,18020129
184,18040012
185,18020162
186,18040012
187,18050002
188,18050001
189,18040012
190,18040012
191,18040012
192,18040010
193,18040011
194,18050005
195,18050005
196,18040051
197,18050005
198,18040010
199,18040009
200,18050002
201,18050005
202,18050002
203,18040051
204,18040010
205,18040051
206,18040003
207,18040003
208,18050004
209,18050004
210,18040009
211,18040009
212,18040002
213,18050004
214,18040008
215,18050004
216,18050004
217,18050004
218,18040008
219,18050004
220,18050003
221,18050003
222,18050003
223,18050003
224,18060015
225,18040001
226,18040001
227,18060002
228,18040001
229,18060002
230,18060005
231,18060005
232,18060006
233,18060005
234,18060006
250,NA
257,NA
262,NA
265,NA
268,NA
273,NA
274,NA
279,NA
282,NA
283,NA
286,NA
287,NA
288,NA
289,NA
290,17010216
291,17020006
292,09040001
293,10050002
294,17020006
295,10050014
296,10030201
297,17010101
298,10030201
299,17010209
300,10030203
301,10030203
302,17020001
303,17010216
304,17010208
305,17010214
306,10030201
307,10040104
308,10030205
309,17010213
310,17020001
311,17020014
312,17010212
313,17010307
314,17010305
315,17010305
316,17010208
317,10030104
318,17010212
319,10030104
320,10030104
321,17010212
322,10030104
323,17020014
324,17010212
325,17010212
326,10040204
327,17020015
328,10030101
329,17020015
330,10040203
331,17010203
332,10030101
333,17020016
334,10030101
335,17020016
336,10030103
337,10030103
338,17060308
339,10040201
340,10040201
341,17010202
342,17010202
343,17010201
344,17010202
345,17010205
346,17070103
347,17010205
348,10020005
349,17070101
350,17070103
351,10070006
352,10020007
353,17070104
354,17060105
355,10080010
356,10020003
357,10070005
358,10080016
359,10090101
360,17050203
361,17050203
362,10020001
363,17050201
364,10020007
365,17050201
366,10020007
367,17050203
368,10020001
369,10090101
370,17050123
371,10090206
372,17050202
373,10080012
374,17040202
375,17050124
376,17050119
377,17050120
378,17040203
379,10080009
380,17040202
381,10080009
382,17050118
383,17050116
384,17040101
385,10080007
386,17050110
387,17050112
388,17050116
389,17050114
390,17040205
391,17050112
392,17040221
393,10080005
394,17050113
395,17050113
396,17040104
397,17040219
398,10080001
399,10080005
400,14040102
401,10180007
402,17040207
403,14040102
404,10080002
405,17050101
406,17050108
407,14040102
408,17040212
409,14040102
410,10080003
411,17040209
412,10180007
413,17040209
414,16010201
415,10180007
416,10180003
417,17120007
418,16010202
419,14040104
420,14040104
421,10180003
422,17120007
423,14040101
424,10180011
425,14040107
426,10180010
427,16010202
428,10180011
429,14040107
430,17050104
431,16010203
432,16010203
433,16010101
434,10180010
435,16040102
436,16040109
437,16020102
438,16020102
439,10180010
440,16040105
